method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,2,low,random,32,1,0.11693,0.11853,0.12250,0.12460,1143.24251,1,0
scalar_csr_cusparse,1024,2,low,random,32,1,0.38835,0.39875,0.39460,0.54260,344.21621,1,0
slot_grouped_cublas,1024,2,low,random,32,1,0.25971,0.49728,0.26670,0.67530,514.71265,2,0
row_owned_hybrid,1024,2,low,random,64,1,0.07181,0.07370,0.07760,0.18760,3723.17989,1,0
row_owned_scalar,1024,2,low,random,64,1,0.22611,0.25466,0.23170,0.67150,1182.39687,1,0
scalar_csr_cusparse,1024,2,low,random,64,1,0.75984,0.98253,0.76720,0.99040,351.85580,1,0
slot_grouped_cublas,1024,2,low,random,64,1,0.26141,0.27782,0.26700,0.28340,1022.74648,2,0
row_owned_hybrid,1024,4,low,random,8,1,0.07024,0.07078,0.07550,0.08210,948.61414,1,0
row_owned_scalar,1024,4,low,random,8,1,0.06928,0.07088,0.07450,0.07660,961.75891,1,0
scalar_csr_cusparse,1024,4,low,random,8,1,0.25434,0.27085,0.25970,0.28810,261.97886,1,0
slot_grouped_cublas,1024,4,low,random,8,1,0.51750,0.52131,0.52370,0.52710,128.75390,4,0
row_owned_hybrid,1024,4,low,random,16,1,0.08346,0.09117,0.09070,0.10670,1596.78523,1,0
row_owned_scalar,1024,4,low,random,16,1,0.11766,0.11990,0.12370,0.25160,1132.55805,1,0
scalar_csr_cusparse,1024,4,low,random,16,1,0.40189,0.59558,0.40720,0.81190,331.58817,1,0
slot_grouped_cublas,1024,4,low,random,16,1,0.51485,0.85165,0.52090,0.85860,258.83623,4,0
row_owned_hybrid,1024,4,low,random,32,1,0.08256,0.08429,0.08790,0.09390,3228.22935,1,0
row_owned_scalar,1024,4,low,random,32,1,0.21690,0.24646,0.24070,0.28200,1228.80379,1,0
scalar_csr_cusparse,1024,4,low,random,32,1,0.78413,1.08995,0.78960,1.09600,339.89683,1,0
slot_grouped_cublas,1024,4,low,random,32,1,0.52742,0.70883,0.53350,0.71520,505.32899,4,0
row_owned_hybrid,1024,4,low,random,64,1,0.13478,0.13584,0.14100,0.14600,3954.81107,1,0
row_owned_scalar,1024,4,low,random,64,1,0.43958,0.61702,0.45820,0.70720,1212.61298,1,0
scalar_csr_cusparse,1024,4,low,random,64,1,1.56054,1.80950,1.70740,1.94470,341.57655,1,0
slot_grouped_cublas,1024,4,low,random,64,1,0.53850,0.76602,0.54450,0.92230,989.87779,4,0
row_owned_hybrid,1024,8,low,random,8,1,0.19520,0.20109,0.20060,0.20970,686.68854,1,0
row_owned_scalar,1024,8,low,random,8,1,0.19725,0.20339,0.20270,0.20860,679.55874,1,0
scalar_csr_cusparse,1024,8,low,random,8,1,0.52749,0.71693,0.53480,0.78540,254.11308,1,0
slot_grouped_cublas,1024,8,low,random,8,1,1.03683,1.04483,1.04460,1.36180,129.27996,8,0
row_owned_hybrid,1024,8,low,random,16,1,0.23114,0.23971,0.23740,0.59440,1159.85051,1,0
row_owned_scalar,1024,8,low,random,16,1,0.36685,0.36800,0.37230,0.37400,730.77461,1,0
scalar_csr_cusparse,1024,8,low,random,16,1,0.82026,1.33251,0.82660,1.34280,326.82870,1,0
slot_grouped_cublas,1024,8,low,random,16,1,1.03590,1.54358,1.05320,1.55050,258.79154,8,0
row_owned_hybrid,1024,8,low,random,32,1,0.21910,0.22179,0.22780,0.23070,2447.08624,1,0
row_owned_scalar,1024,8,low,random,32,1,0.70182,1.04272,0.70780,1.04900,763.96132,1,0
scalar_csr_cusparse,1024,8,low,random,32,1,1.62749,1.93754,1.63630,1.94490,329.44415,1,0
slot_grouped_cublas,1024,8,low,random,32,1,1.05203,1.33402,1.06000,1.34170,509.64838,8,0
row_owned_hybrid,1024,8,low,random,64,1,0.32979,0.34032,0.33710,0.75190,3251.54286,1,0
row_owned_scalar,1024,8,low,random,64,1,1.46566,1.97283,1.47800,1.98320,731.63616,1,0
scalar_csr_cusparse,1024,8,low,random,64,1,3.58422,3.85776,3.59090,3.86660,299.18130,1,0
slot_grouped_cublas,1024,8,low,random,64,1,1.08464,1.10186,1.09090,1.44850,988.65317,8,0
row_owned_hybrid,1024,16,low,random,8,1,0.48963,0.98502,0.49520,0.99030,546.92372,1,0
row_owned_scalar,1024,16,low,random,8,1,0.48685,0.63600,0.49300,0.64190,550.05127,1,0
scalar_csr_cusparse,1024,16,low,random,8,1,0.88528,1.14179,0.89100,1.14770,302.49340,1,0
slot_grouped_cublas,1024,16,low,random,8,1,2.05242,2.50813,2.06280,2.51440,130.47616,16,0
row_owned_hybrid,1024,16,low,random,16,1,0.44714,0.59443,0.45430,0.60010,1197.80716,1,0
row_owned_scalar,1024,16,low,random,16,1,0.86518,1.14746,0.87130,1.15600,619.03909,1,0
scalar_csr_cusparse,1024,16,low,random,16,1,1.47702,1.84589,1.49700,1.85350,362.60937,1,0
slot_grouped_cublas,1024,16,low,random,16,1,2.09360,2.49770,2.13770,2.50900,255.81903,16,0
row_owned_hybrid,1024,16,low,random,32,1,0.41158,0.42512,0.41740,0.83820,2602.54399,1,0
row_owned_scalar,1024,16,low,random,32,1,1.65453,2.06182,1.66400,2.06930,647.41450,1,0
scalar_csr_cusparse,1024,16,low,random,32,1,3.19418,3.40365,3.20560,3.41200,335.34954,1,0
slot_grouped_cublas,1024,16,low,random,32,1,2.15485,2.31546,2.32310,2.50960,497.09557,16,0
row_owned_hybrid,1024,16,low,random,64,1,0.62986,0.82250,0.64110,0.91070,3401.30270,1,0
row_owned_scalar,1024,16,low,random,64,1,3.45280,3.73917,3.68690,3.74810,620.46190,1,0
scalar_csr_cusparse,1024,16,low,random,64,1,6.31232,6.55885,6.33800,6.56900,339.38881,1,0
