method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_ilp4,1024,16,uniform,random,8,1,0.47632,1.36512,0.48380,1.37130,563.56117,1,0
row_owned_scalar,1024,16,uniform,random,8,1,0.43875,0.44038,0.44450,0.44760,611.81592,1,0
scalar_csr_cusparse,1024,16,uniform,random,8,1,0.93376,1.13738,0.94460,1.80450,287.47800,1,0
slot_grouped_cublas,1024,16,uniform,random,8,1,2.08701,2.97574,2.11300,2.98260,128.62215,16,0
row_owned_ilp4,1024,16,uniform,random,16,1,0.63994,1.45152,0.64740,1.45810,838.94473,1,0
row_owned_scalar,1024,16,uniform,random,16,1,0.86387,1.09098,0.87040,1.72520,621.47045,1,0
scalar_csr_cusparse,1024,16,uniform,random,16,1,1.51926,2.27971,1.52990,2.30210,353.37566,1,0
slot_grouped_cublas,1024,16,uniform,random,16,1,2.08227,2.97661,2.10310,3.04040,257.82938,16,0
row_owned_ilp4,1024,16,uniform,random,32,1,0.83270,1.65498,0.84260,1.66050,1289.46398,1,0
row_owned_scalar,1024,16,uniform,random,32,1,1.68003,2.46317,1.71180,2.47180,639.11986,1,0
scalar_csr_cusparse,1024,16,uniform,random,32,1,3.19728,4.07718,3.20510,4.08520,335.82978,1,0
slot_grouped_cublas,1024,16,uniform,random,32,1,2.08064,3.07178,2.08870,3.07780,516.06322,16,0
row_owned_ilp4,1024,16,uniform,random,64,1,1.64925,2.42557,1.66240,2.47770,1302.09868,1,0
row_owned_scalar,1024,16,uniform,random,64,1,3.34042,4.38944,4.11180,4.39490,642.87911,1,0
scalar_csr_cusparse,1024,16,uniform,random,64,1,7.08563,7.10192,7.09420,7.11370,303.07582,1,0
slot_grouped_cublas,1024,16,uniform,random,64,1,2.13654,2.98429,2.26850,2.99150,1005.12026,16,0
row_owned_ilp4,1024,2,low,local,8,1,0.03571,0.04445,0.04060,0.05980,934.70968,1,0
row_owned_scalar,1024,2,low,local,8,1,0.03962,0.04102,0.04460,0.04580,842.59774,1,0
scalar_csr_cusparse,1024,2,low,local,8,1,0.12979,0.13040,0.13480,0.13720,257.18342,1,0
slot_grouped_cublas,1024,2,low,local,8,1,0.24666,1.13430,0.25170,1.14030,135.33160,2,0
row_owned_ilp4,1024,2,low,local,16,1,0.04515,0.04589,0.05000,0.05610,1478.57686,1,0
row_owned_scalar,1024,2,low,local,16,1,0.06566,0.06621,0.07040,0.07110,1016.70174,1,0
scalar_csr_cusparse,1024,2,low,local,16,1,0.20387,0.23251,0.21100,0.25090,327.46383,1,0
slot_grouped_cublas,1024,2,low,local,16,1,0.24854,0.28986,0.25340,0.30230,268.60719,2,0
row_owned_ilp4,1024,2,low,local,32,1,0.07120,0.08611,0.07580,0.09690,1875.30072,1,0
