method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
slot_grouped_cublas,1024,2,low,local,32,1,0.26867,0.28758,0.27400,0.29330,496.96810,2,0
row_owned_hybrid,1024,2,low,local,64,1,0.07024,0.07498,0.07530,0.08240,3801.86250,1,0
row_owned_scalar,1024,2,low,local,64,1,0.22611,0.23533,0.23200,0.24890,1181.02013,1,0
scalar_csr_cusparse,1024,2,low,local,64,1,0.75872,0.79008,0.76450,0.79600,351.96492,1,0
slot_grouped_cublas,1024,2,low,local,64,1,0.26125,0.26624,0.26680,0.27160,1022.18131,2,0
row_owned_hybrid,1024,4,low,local,8,1,0.06794,0.06973,0.07300,0.07990,987.44790,1,0
row_owned_scalar,1024,4,low,local,8,1,0.06784,0.07501,0.07280,0.08020,988.84525,1,0
scalar_csr_cusparse,1024,4,low,local,8,1,0.25648,0.27069,0.26260,0.28250,261.55358,1,0
slot_grouped_cublas,1024,4,low,local,8,1,0.51728,0.70352,0.52350,0.71770,129.68463,4,0
row_owned_hybrid,1024,4,low,local,16,1,0.08246,0.09997,0.08770,0.11230,1626.97086,1,0
row_owned_scalar,1024,4,low,local,16,1,0.11539,0.11642,0.12070,0.12180,1162.70217,1,0
scalar_csr_cusparse,1024,4,low,local,16,1,0.40320,0.41610,0.40840,0.42190,332.75429,1,0
slot_grouped_cublas,1024,4,low,local,16,1,0.51606,0.54010,0.52210,0.55460,259.98041,4,0
row_owned_hybrid,1024,4,low,local,32,1,0.08595,0.08806,0.09090,0.09870,3121.89431,1,0
row_owned_scalar,1024,4,low,local,32,1,0.21392,0.23088,0.23690,0.32500,1254.36172,1,0
scalar_csr_cusparse,1024,4,low,local,32,1,0.79277,0.80605,0.79860,0.81180,338.47614,1,0
slot_grouped_cublas,1024,4,low,local,32,1,0.52870,0.53254,0.53430,0.53860,507.52985,4,0
row_owned_hybrid,1024,4,low,local,64,1,0.13459,0.13581,0.14000,0.14760,3987.35531,1,0
row_owned_scalar,1024,4,low,local,64,1,0.41219,0.67744,0.41830,0.68980,1301.98094,1,0
scalar_csr_cusparse,1024,4,low,local,64,1,1.56966,1.75936,1.57670,1.76620,341.89872,1,0
slot_grouped_cublas,1024,4,low,local,64,1,0.53690,0.55926,0.54260,0.56500,999.57184,4,0
row_owned_hybrid,1024,8,low,local,8,1,0.17450,0.17747,0.18010,0.18800,770.11262,1,0
row_owned_scalar,1024,8,low,local,8,1,0.17600,0.17885,0.18100,0.18460,763.53164,1,0
scalar_csr_cusparse,1024,8,low,local,8,1,0.52614,0.53763,0.53220,0.55250,255.40833,1,0
slot_grouped_cublas,1024,8,low,local,8,1,1.03878,1.28451,1.04500,1.29100,129.36430,8,0
row_owned_hybrid,1024,8,low,local,16,1,0.23462,0.24352,0.24180,0.25830,1145.50574,1,0
row_owned_scalar,1024,8,low,local,16,1,0.35779,0.60618,0.36340,0.61150,751.17147,1,0
scalar_csr_cusparse,1024,8,low,local,16,1,0.83344,1.02218,0.84030,1.03430,322.47448,1,0
slot_grouped_cublas,1024,8,low,local,16,1,1.05728,1.26454,1.06340,1.27860,254.20243,8,0
