method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,1024,2,uniform,random,32,1,0.11827,0.11987,0.12350,0.12560,1134.82252,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39408,0.58045,0.40100,0.58590,340.58497,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.26163,0.26781,0.26700,0.29980,513.00197,2,0
row_owned_hybrid,1024,2,uniform,random,64,1,0.10499,0.11453,0.11110,0.12930,2556.72290,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.23347,0.25914,0.25010,0.58570,1149.75436,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.76909,1.08291,0.77810,1.09240,349.03089,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.25795,0.28022,0.26550,0.29310,1040.64109,2,0
row_owned_hybrid,1024,4,uniform,random,8,1,0.06214,0.07216,0.06790,0.08570,1079.89289,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06125,0.06262,0.06640,0.06860,1095.69069,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25683,0.38858,0.26240,0.39420,261.29479,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.51178,0.67978,0.51860,0.68670,131.12938,4,0
row_owned_hybrid,1024,4,uniform,random,16,1,0.09200,0.09558,0.09710,0.11690,1458.88834,1,0
row_owned_scalar,1024,4,uniform,random,16,1,0.11350,0.12867,0.11940,0.14580,1182.49337,1,0
scalar_csr_cusparse,1024,4,uniform,random,16,1,0.40422,0.40707,0.41000,0.53160,332.03799,1,0
slot_grouped_cublas,1024,4,uniform,random,16,1,0.54550,0.73968,0.55370,0.77120,246.04354,4,0
row_owned_hybrid,1024,4,uniform,random,32,1,0.11328,0.12429,0.11900,0.14320,2369.66331,1,0
row_owned_scalar,1024,4,uniform,random,32,1,0.21485,0.21830,0.22020,0.36890,1249.42033,1,0
scalar_csr_cusparse,1024,4,uniform,random,32,1,0.79328,0.98112,0.80010,0.98790,338.38677,1,0
slot_grouped_cublas,1024,4,uniform,random,32,1,0.56643,0.74282,0.57440,0.77420,473.90588,4,0
row_owned_hybrid,1024,4,uniform,random,64,1,0.20758,0.20954,0.21370,0.21860,2586.28280,1,0
row_owned_scalar,1024,4,uniform,random,64,1,0.42058,0.42099,0.42580,0.42670,1276.51341,1,0
scalar_csr_cusparse,1024,4,uniform,random,64,1,1.57613,1.76259,1.58320,1.77690,340.62647,1,0
slot_grouped_cublas,1024,4,uniform,random,64,1,0.52474,0.66909,0.53130,0.67500,1023.12577,4,0
row_owned_hybrid,1024,8,uniform,random,8,1,0.21894,0.23418,0.22460,0.36580,613.02310,1,0
row_owned_scalar,1024,8,uniform,random,8,1,0.21696,0.22070,0.22200,0.22640,618.62891,1,0
scalar_csr_cusparse,1024,8,uniform,random,8,1,0.58643,0.78746,0.59240,0.79910,228.87177,1,0
slot_grouped_cublas,1024,8,uniform,random,8,1,1.04179,1.21427,1.04810,1.22120,128.83351,8,0
row_owned_hybrid,1024,8,uniform,random,16,1,0.22685,0.22986,0.23260,0.23610,1183.32738,1,0
row_owned_scalar,1024,8,uniform,random,16,1,0.39302,0.65062,0.39910,0.66240,683.00017,1,0
scalar_csr_cusparse,1024,8,uniform,random,16,1,0.86781,0.88646,0.87370,0.89840,309.32587,1,0
slot_grouped_cublas,1024,8,uniform,random,16,1,1.02800,1.19533,1.04590,1.20160,261.12399,8,0
row_owned_hybrid,1024,8,uniform,random,32,1,0.30147,0.31635,0.30670,0.42270,1780.83171,1,0
row_owned_scalar,1024,8,uniform,random,32,1,0.77824,1.03418,0.78340,1.04040,689.85261,1,0
scalar_csr_cusparse,1024,8,uniform,random,32,1,1.72179,2.00365,1.73380,2.22530,311.80939,1,0
slot_grouped_cublas,1024,8,uniform,random,32,1,1.04483,1.29482,1.06070,1.30210,513.83468,8,0
row_owned_hybrid,1024,8,uniform,random,64,1,0.44160,0.44352,0.44730,0.57260,2431.48061,1,0
row_owned_scalar,1024,8,uniform,random,64,1,1.47216,1.76394,1.47890,1.77070,729.36490,1,0
