method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,4096,8,uniform,random,8,1,0.86938,1.20448,0.87490,1.20960,617.53592,1,0
scalar_csr_cusparse,4096,8,uniform,random,8,1,2.24387,2.74253,2.36190,2.75700,239.26094,1,0
slot_grouped_cublas,4096,8,uniform,random,8,1,4.03616,4.47498,4.07610,4.49750,133.01527,8,0
row_owned_hybrid,4096,8,uniform,random,16,1,0.65098,1.06477,0.65590,1.10210,1649.43380,1,0
row_owned_scalar,4096,8,uniform,random,16,1,1.72093,2.14070,1.73550,2.15370,623.93189,1,0
scalar_csr_cusparse,4096,8,uniform,random,16,1,3.45382,3.95290,3.49890,3.96170,310.88492,1,0
slot_grouped_cublas,4096,8,uniform,random,16,1,4.07030,4.56966,4.11920,4.58140,263.79893,8,0
row_owned_hybrid,4096,8,uniform,random,32,1,0.84298,1.03946,0.84840,1.04570,2547.50279,1,0
row_owned_scalar,4096,8,uniform,random,32,1,3.41594,3.82128,3.44930,3.83640,628.66624,1,0
scalar_csr_cusparse,4096,8,uniform,random,32,1,7.19722,7.34378,7.23650,7.35960,298.37699,1,0
slot_grouped_cublas,4096,8,uniform,random,32,1,4.57194,4.95091,4.59830,4.96790,469.70990,8,0
row_owned_hybrid,4096,8,uniform,random,64,1,1.35152,1.56048,1.36370,1.58430,3177.87934,1,0
row_owned_scalar,4096,8,uniform,random,64,1,7.00730,7.69443,7.02290,7.73910,612.92790,1,0
scalar_csr_cusparse,4096,8,uniform,random,64,1,14.16598,14.52195,14.19570,14.55480,303.18877,1,0
slot_grouped_cublas,4096,8,uniform,random,64,1,5.40400,5.82554,5.42010,5.83670,794.77562,8,0
row_owned_hybrid,4096,16,uniform,random,8,1,1.78896,2.03302,1.81630,2.04690,600.20450,1,0
row_owned_scalar,4096,16,uniform,random,8,1,1.80138,2.12051,1.81550,2.12600,596.06758,1,0
scalar_csr_cusparse,4096,16,uniform,random,8,1,3.72330,4.04163,3.77030,4.04910,288.38477,1,0
slot_grouped_cublas,4096,16,uniform,random,8,1,7.86067,8.38806,7.87390,8.40350,136.59670,16,0
row_owned_hybrid,4096,16,uniform,random,16,1,1.27933,1.49494,1.28670,1.50980,1678.60288,1,0
row_owned_scalar,4096,16,uniform,random,16,1,3.54166,4.05136,3.55090,4.06420,606.34880,1,0
scalar_csr_cusparse,4096,16,uniform,random,16,1,6.24899,6.88010,6.26210,6.89710,343.65281,1,0
slot_grouped_cublas,4096,16,uniform,random,16,1,7.90992,8.47395,7.92320,8.49230,271.49245,16,0
row_owned_hybrid,4096,16,uniform,random,32,1,1.61632,1.99709,1.62220,2.00260,2657.25058,1,0
row_owned_scalar,4096,16,uniform,random,32,1,6.82835,6.85296,6.84180,7.12360,628.99032,1,0
scalar_csr_cusparse,4096,16,uniform,random,32,1,12.51462,13.09674,12.55830,13.11780,343.19588,1,0
slot_grouped_cublas,4096,16,uniform,random,32,1,9.07152,9.54074,9.14440,9.58330,473.45620,16,0
row_owned_hybrid,4096,16,uniform,random,64,1,2.59747,3.00701,2.60850,3.01890,3307.03651,1,0
row_owned_scalar,4096,16,uniform,random,64,1,13.62355,14.74794,13.65360,14.76700,630.52091,1,0
scalar_csr_cusparse,4096,16,uniform,random,64,1,25.15664,25.45216,25.17690,25.47820,341.45796,1,0
slot_grouped_cublas,4096,16,uniform,random,64,1,10.91270,11.10813,10.93370,11.21510,787.14993,16,0
row_owned_hybrid,4096,2,low,local,8,1,0.23766,0.43606,0.24250,0.44100,563.58261,1,0
row_owned_scalar,4096,2,low,local,8,1,0.23770,0.44486,0.24250,0.45120,563.50671,1,0
scalar_csr_cusparse,4096,2,low,local,8,1,0.47565,0.66333,0.48090,0.68550,281.60173,1,0
slot_grouped_cublas,4096,2,low,local,8,1,0.92765,1.12080,0.93330,1.19200,144.39022,2,0
row_owned_hybrid,4096,2,low,local,16,1,0.23789,0.40307,0.24320,0.40800,1126.10388,1,0
row_owned_scalar,4096,2,low,local,16,1,0.47539,0.67731,0.48070,0.69000,563.50671,1,0
scalar_csr_cusparse,4096,2,low,local,16,1,0.76733,0.97104,0.77330,0.98640,349.11613,1,0
slot_grouped_cublas,4096,2,low,local,16,1,0.93126,1.12653,0.93680,1.13920,287.65914,2,0
row_owned_hybrid,4096,2,low,local,32,1,0.26611,0.45536,0.27100,0.46030,2013.33718,1,0
row_owned_scalar,4096,2,low,local,32,1,0.92864,1.20784,0.93400,1.21310,576.94390,1,0
scalar_csr_cusparse,4096,2,low,local,32,1,1.51987,1.71552,1.52600,1.72230,352.51205,1,0
slot_grouped_cublas,4096,2,low,local,32,1,1.01622,1.20858,1.03260,1.23970,527.21956,2,0
row_owned_hybrid,4096,2,low,local,64,1,0.40038,0.58758,0.40610,0.59840,2676.29662,1,0
row_owned_scalar,4096,2,low,local,64,1,1.87082,2.24467,1.87740,2.25190,572.76951,1,0
scalar_csr_cusparse,4096,2,low,local,64,1,3.08426,3.29904,3.11700,3.34130,347.42459,1,0
slot_grouped_cublas,4096,2,low,local,64,1,1.20573,1.40694,1.21510,1.41390,888.71314,2,0
row_owned_hybrid,4096,4,low,local,8,1,0.50406,0.70314,0.50880,0.70910,528.88164,1,0
row_owned_scalar,4096,4,low,local,8,1,0.53386,0.74170,0.54730,0.75580,499.36728,1,0
scalar_csr_cusparse,4096,4,low,local,8,1,0.99178,1.18419,1.01160,1.19750,268.80083,1,0
slot_grouped_cublas,4096,4,low,local,8,1,1.88541,2.13462,1.89080,2.14120,141.39656,4,0
row_owned_hybrid,4096,4,low,local,16,1,0.39776,0.56211,0.40300,0.56720,1340.45759,1,0
row_owned_scalar,4096,4,low,local,16,1,0.92899,1.19907,0.93490,1.20520,573.93436,1,0
scalar_csr_cusparse,4096,4,low,local,16,1,1.56771,1.77882,1.57410,1.78480,340.10101,1,0
slot_grouped_cublas,4096,4,low,local,16,1,1.97293,2.17542,1.98510,2.18830,270.24828,4,0
row_owned_hybrid,4096,4,low,local,32,1,0.45046,0.63725,0.45630,0.64260,2367.24979,1,0
row_owned_scalar,4096,4,low,local,32,1,1.86960,2.25248,1.88390,2.26780,570.36842,1,0
scalar_csr_cusparse,4096,4,low,local,32,1,3.13366,3.39674,3.23320,3.41000,340.29203,1,0
slot_grouped_cublas,4096,4,low,local,32,1,2.10864,2.31811,2.11810,2.34910,505.71025,4,0
row_owned_hybrid,4096,4,low,local,64,1,0.70186,0.90614,0.71100,0.92120,3038.68830,1,0
row_owned_scalar,4096,4,low,local,64,1,3.77469,4.04352,3.78090,4.06300,565.00608,1,0
scalar_csr_cusparse,4096,4,low,local,64,1,6.49450,6.85837,6.52230,6.87260,328.38910,1,0
slot_grouped_cublas,4096,4,low,local,64,1,2.60358,2.80413,2.61820,2.81640,819.14838,4,0
row_owned_hybrid,4096,8,low,local,8,1,1.04352,1.26442,1.05160,1.28100,510.77928,1,0
row_owned_scalar,4096,8,low,local,8,1,0.98829,1.38339,0.99330,1.39540,539.32497,1,0
scalar_csr_cusparse,4096,8,low,local,8,1,2.05053,2.22896,2.05570,2.23620,259.93713,1,0
slot_grouped_cublas,4096,8,low,local,8,1,3.87110,4.31139,3.99200,4.32820,137.68899,8,0
row_owned_hybrid,4096,8,low,local,16,1,0.71277,0.99034,0.71830,0.99630,1495.60129,1,0
row_owned_scalar,4096,8,low,local,16,1,1.77923,1.98704,1.78760,1.99850,599.14432,1,0
scalar_csr_cusparse,4096,8,low,local,16,1,3.24790,3.43987,3.26410,3.45350,328.21683,1,0
slot_grouped_cublas,4096,8,low,local,16,1,3.98240,4.58797,4.08060,4.59480,267.68200,8,0
